id;start_date;end_date;usd_rate;usd_rate_dif;nbu_usd_buy;nbu_usd_sell;modification_date;rub_rate;rub_rate_dif;eur_rate;eur_rate_dif;chf_rate;chf_rate_dif;nbu_euro_buy;nbu_euro_sell;title_seo;description_seo;title_seo_ru;description_seo_ru;title_seo_uz;description_seo_en;description_seo_uz;title_seo_en;date_update
18;2016-02-16;2016-02-22;2846.63;+5.03;2894.00;2903.00;2020-05-19;35.81;-0.93;3209.01;+70.02;2907.10;+46.62;3210.00;3258.00;;;;;;;;;0000-00-00
19;2016-02-09;2016-02-15;2841.60;+4.73;2889.00;2898.00;2020-05-19;36.74;-1.00;3138.99;+45.83;2860.48;+83.05;3139.00;3186.00;;;;;;;;;0000-00-00
20;2016-02-02;2016-02-08;2836.87;+5.38;2884.00;2893.00;2020-05-19;37.74;+2.60;3093.16;+2.36;2777.43;-14.97;3094.00;3140.00;;;;;;;;;0000-00-00
21;2016-01-26;2016-02-01;2831.49;+5.01;2879.00;2888.00;2020-05-19;35.14;-1.78;3090.80;+11.92;2792.40;-20.30;3091.00;3137.00;;;;;;;;;0000-00-00
22;2016-01-19;2016-01-25;2826.48;+5.05;2873.00;2882.00;2020-05-19;36.92;-1.77;3078.88;+25.03;2812.70;-25.48;3079.00;3125.00;;;;;;;;;0000-00-00
23;2016-01-12;2016-01-18;2821.43;+4.96;2868.00;2877.00;2020-05-19;38.69;+0.07;3053.85;-33.84;2838.18;+18.05;3054.00;3099.00;;;;;;;;;0000-00-00
24;2016-01-05;2016-01-11;2816.47;+6.49;2863.00;2872.00;2020-05-19;38.62;-1.37;3087.69;+13.50;2820.13;-29.46;3088.00;3134.00;;;;;;;;;0000-00-00
25;2015-12-29;2016-01-04;2809.98;+15.00;2857.00;2866.00;2020-05-19;39.99;+0.80;3074.19;+11.53;2849.59;+29.23;3075.00;3121.00;;;;;;;;;0000-00-00
26;2015-12-22;2015-12-28;2794.98;+14.93;2841.00;2850.00;2020-05-19;39.19;-1.0;3062.66;+13.03;2820.36;-0.59;3063.00;3108.00;;;;;;;;;0000-00-00
27;2015-12-15;2015-12-21;2780.05;+14.85;2826.00;2835.00;2020-05-19;40.19;+0.29;3049.63;+76.13;2820.95;+36.54;3050.00;3095.00;;;;;;;;;0000-00-00
28;2015-12-10;2015-12-14;2765.20;+14.77;2811.00;2820.00;2020-05-19;39.90;-1.62;2973.50;+45.62;2784.41;+115.13;2974.00;3018.00;;;;;;;;;0000-00-00
29;2015-12-01;2015-12-09;2750.43;+14.69;2796.00;2805.00;2020-05-19;41.52;-0.65;2927.88;-3.79;2669.28;-11.5;2936.00;2979.00;;;;;;;;;0000-00-00
30;2015-11-24;1970-01-01;2735.74;+14.62;2781.00;2790.00;2020-05-19;42.17;+1.33;2931.67;-0.07;2680.78;-20.62;2932.00;2975.00;;;;;;;;;0000-00-00
31;2015-11-17;2015-11-23;2721.12;+14.53;2766.00;2775.00;2020-05-19;40.84;-1.66;2931.74;-33.85;2701.40;+5.06;2932.00;2975.00;;;;;;;;;0000-00-00
32;2015-11-10;2015-11-16;2706.59;+14.46;2719.00;2728.00;2020-05-19;42.50;+0.68;2965.59;-7.54;2696.34;-31.25;2966.00;3010.00;;;;;;;;;0000-00-00
33;2015-11-03;2015-11-09;2706.51;+14.38;2736.00;2745.00;2020-05-19;41.82;-1.42;2973.13;-51.10;2692.13;-16.85;2974.00;3018.00;;;;;;;;;0000-00-00
34;2015-10-27;2015-11-02;2677.75;+14.30;2691.00;2700.00;2020-05-19;43.24;-0.17;3030.23;-9.36;2744.44;-47.44;3031.00;3076.00;;;;;;;;;0000-00-00
35;2015-10-20;2015-10-26;2663.45;+14.23;2677.00;2686.00;2020-05-19;43.41;+0.19;3039.59;+58.58;2791.88;+33.71;3040.00;3085.00;;;;;;;;;0000-00-00
36;2015-10-13;2015-10-19;2649.22;+14.14;2663.00;2672.00;2020-05-19;43.22;+3.26;2981.01;+22.00;2758.17;+44.11;2982.00;3026.00;;;;;;;;;0000-00-00
37;2015-10-06;2015-10-12;2635.08;+14.08;2648.00;2657.00;2020-05-19;39.96;+0.05;2959.01;+18.06;2714.06;+37.66;2960.00;3004.00;;;;;;;;;0000-00-00
38;2015-09-29;2015-10-05;2621.00;+5.09;2634.00;2643.00;2020-05-19;39.91;+1.45;2940.95;-33.97;2676.40;-26.82;2941.00;2985.00;;;;;;;;;0000-00-00
39;2015-09-22;2015-09-28;2615.91;+5.02;2629.00;2638.00;2020-05-19;38.46;+0.07;2974.92;+42.00;2703.22;+5.18;2975.00;3019.00;;;;;;;;;0000-00-00
40;2015-09-15;2015-09-21;2610.89;+0.29;2614.00;2623.00;2020-05-19;38.39;+0.52;2932.92;+70.23;2698.04;+51.01;2933.00;2977.00;;;;;;;;;2180-05-31
41;2015-09-08;2015-09-14;2605.83;+4.77;2618.00;2627.00;2020-05-19;38.50;-0.63;2909.15;-46.46;2680.07;-33.04;2910.00;2953.00;;;;;;;;;0000-00-00
42;2015-09-03;2015-09-07;2601.06;+5.54;2624.00;2633.00;2020-05-19;39.13;+1.03;2955.61;+66.58;2713.11;-41.34;2956.00;3000.00;;;;;;;;;1999-11-30
43;2015-08-25;2015-09-02;2595.52;+5.14;2608.00;2617.00;2020-05-19;38.10;-1.79;2889.03;+20.69;2754.45;+103.09;2890.00;2933.00;;;;;;;;;1999-11-30
44;2015-08-18;2015-08-24;2590.38;+5.11;2633.00;2642.00;2020-05-19;39.89;-0.61;2868.34;+46.52;2651.36;+20.85;2869.00;2912.00;;;;;;;;;0000-00-00
45;2015-08-11;2015-08-17;2585.27;+5.08;2627.00;2636.00;2020-05-19;40.50;-2.26;2821.82;-20.05;2630.51;-43.54;2822.00;2864.00;;;;;;;;;0000-00-00
46;2015-08-04;2015-08-10;2580.19;+5.01;2622.00;2631.00;2020-05-19;42.76;-1.61;2841.87;+31.31;2674.05;-6.47;2841.00;2883.00;;;;;;;;;0000-00-00
47;2015-07-28;2015-08-03;2575.18;+4.96;2617.00;2626.00;2020-05-19;44.37;-0.85;2810.56;-10.40;2680.52;+9.61;2811.00;2853.00;;;;;;;;;0000-00-00
48;2015-07-21;2015-07-27;2570.22;+4.93;2612.00;2621.00;2020-05-19;45.22;-0.05;2820.96;-16.82;2670.91;-56.38;2821.00;2863.00;;;;;;;;;0000-00-00
49;2015-07-14;2015-07-20;2565.29;+4.87;2607.00;2616.00;2020-05-19;45.27;-0.78;2837.78;-0.64;2727.29;+14.69;2838.00;2880.00;;;;;;;;;0000-00-00
50;2015-07-07;2015-07-13;2560.42;+4.82;2602.00;2611.00;2020-05-19;46.05;-0.57;2838.42;-35.19;2712.60;-9.60;2839.00;2881.00;;;;;;;;;0000-00-00
51;2015-06-30;2015-07-06;2555.60;+4.75;2597.00;2606.00;2020-05-19;46.62;-0.79;2873.61;-10.28;2722.20;-60.75;2874.00;2917.00;;;;;;;;;0000-00-00
52;2015-06-23;2015-06-29;2550.85;+4.65;2592.00;5601.00;2020-05-19;47.41;+0.71;2883.89;+20.81;2782.95;+50.66;2884.00;2927.00;;;;;;;;;0000-00-00
53;2015-06-16;2015-06-22;2546.22;+4.57;2588.00;2597.00;2020-05-19;46.70;+1.51;2863.08;+24.17;2732.29;+31.85;2864.00;2906.00;;;;;;;;;0000-00-00
54;2015-06-09;2015-06-15;2541.65;+4.11;2583.00;2592.00;2020-05-19;45.19;-2.71;2838.91;+63.55;2700.44;+6.95;2839.00;2881.00;;;;;;;;;0000-00-00
55;2015-06-02;2015-06-08;2542.74;+5.20;2579.00;2588.00;2020-05-19;44.94;-2.96;2692.43;-82.93;2700.43;+6.94;2776.00;2817.00;;;;;;;;;0000-00-00
56;2015-05-26;2015-06-01;2537.10;+4.76;2573.00;2582.00;2020-05-19;51.18;+0.32;2884.53;+26.24;2615.84;-70.71;2859.00;2901.00;;;;;;;;;0000-00-00
57;2015-05-19;2015-05-25;2532.43;+4.85;2569.00;2578.00;2020-05-19;51.37;+0.83;2833.26;+2.21;2812.37;+55.11;2832.00;2874.00;;;;;;;;;0000-00-00
58;2015-05-12;2015-05-18;2527.66;+4.93;2564.00;2573.00;2020-05-19;50.19;+0.48;2904.45;+75.61;2706.85;+4.7;2829.00;2871.00;;;;;;;;;0000-00-00
59;2015-05-05;2015-05-11;2522.87;+5.07;2559.00;2568.00;2020-05-19;48.45;-0.78;2796.28;+43.05;2763.49;+66.04;2754.00;2763.00;;;;;;;;;0000-00-00
60;2015-04-28;2015-05-04;2518.06;+5.33;2553.00;2562.00;2020-05-19;50.40;+0.39;2750.87;+40.69;2633.14;+1.73;2711.00;2720.00;;;;;;;;;0000-00-00
61;2015-04-21;2015-04-27;2512.93;+5.53;2548.00;2557.00;2020-05-19;50.25;+0.63;2599.03;-70.46;2705.13;+75.45;2670.00;2710.00;;;;;;;;;0000-00-00
62;2015-04-14;2015-04-20;2507.58;+5.71;2542.00;2551.00;2020-05-19;54.00;+5.01;2772.94;+32.99;2488.09;-66.14;2740.00;2781.00;;;;;;;;;0000-00-00
63;2015-04-07;2015-04-13;2502.12;+5.96;2537.00;2546.00;2020-05-19;44.82;+0.84;2697.16;-9.80;2652.44;+32.07;2707.00;2747.00;;;;;;;;;0000-00-00
64;2015-03-31;2015-04-06;2496.25;+6.05;2531.00;2540.00;2020-05-19;44.90;+1.76;2791.07;+74.31;2633.97;+45.67;2717.00;2757.00;;;;;;;;;0000-00-00
65;2015-03-24;2015-03-30;2490.07;+5.92;2524.00;2533.00;2020-05-19;42.34;+0.96;2628.71;-13.74;2620.10;+77.47;2643.00;2682.00;;;;;;;;;0000-00-00
66;2015-03-17;2015-03-23;2484.12;+5.89;2518.00;2527.00;2020-05-19;39.63;-0.79;2562.40;-93.79;2307.44;-157.72;2657.00;2696.00;;;;;;;;;0000-00-00
67;2015-03-10;2015-03-16;2477.82;+5.48;2512.00;2512.00;2020-05-19;42.16;+0.95;2707.46;-42.52;2431.24;-76.20;2750.00;2791.00;;;;;;;;;0000-00-00
68;2015-03-03;2015-03-09;2473.40;+6.54;2507.00;2516.00;2020-05-19;40.66;+0.40;2777.73;-14.77;2559.35;-24.29;2793.00;2834.00;;;;;;;;;0000-00-00
69;2015-02-24;2015-03-02;2466.34;+6.02;2500.00;2509.00;2020-05-19;42.01;+2.15;2837.41;+30.14;2573.42;-34.51;2808.00;2850.00;;;;;;;;;0000-00-00
70;2015-02-17;2015-02-23;2460.44;+6.14;2494.00;2503.00;2020-05-19;38.35;+0.64;2779.45;+2.32;2637.08;-5.36;2778.00;2819.00;;;;;;;;;0000-00-00
71;2015-02-10;2015-02-16;2454.19;+6.03;2488.00;2497.00;2020-05-19;38.71;+1.64;2777.81;+3.00;2655.46;+7.66;2775.00;2816.00;;;;;;;;;0000-00-00
72;2015-02-03;2015-02-09;2448.10;+5.97;2481.00;2490.00;2020-05-19;32.43;-3.00;2730.23;-41.58;2510.34;-129.80;2772.00;2813.00;;;;;;;;;0000-00-00
73;2015-01-27;2015-02-02;2442.15;+5.99;2475.00;2484.00;2020-05-19;38.43;+1.14;2797.52;-32.71;2742.08;-27.86;2831.00;2873.00;;;;;;;;;0000-00-00
74;2015-01-20;2015-01-26;2430.17;+5.86;2469.00;2478.00;2020-05-19;37.29;-5.82;2862.94;-50.31;2797.80;+405.08;2863.00;2905.00;;;;;;;;;0000-00-00
75;2015-01-13;2015-01-19;2424.31;+0.08;2463.00;2472.00;2020-05-19;43.11;+0.0;2913.25;-46.98;2392.72;-17.29;2914.00;2957.00;;;;;;;;;0000-00-00
76;2015-01-06;2015-01-12;2424.23;+1.83;2463.00;2472.00;2020-05-19;43.11;-3.44;2960.23;-27.51;2410.01;-46.78;2961.00;3005.00;;;;;;;;;0000-00-00
77;2014-12-30;2015-01-05;2422.40;+4.20;2461.00;2470.00;2020-05-19;46.55;+6.7;2987.74;-12.92;2456.79;-3.98;2988.00;3032.00;;;;;;;;;0000-00-00
78;2014-12-23;2014-12-29;2418.20;+4.24;2457.00;2466.00;2020-05-19;39.85;-2.58;3000.66;+7.11;2460.77;-40.48;3001.00;3046.00;;;;;;;;;0000-00-00
79;2014-12-16;2014-12-22;2413.96;+4.29;2453.00;2462.00;2020-05-19;42.43;-2.77;2993.56;+8.94;2501.25;+33.08;2994.00;3038.00;;;;;;;;;0000-00-00
80;2014-12-10;2014-12-15;2409.67;+4.26;2448.00;2457.00;2020-05-19;45.20;-3.57;2984.62;-13.68;2468.17;-21.39;2985.00;3029.00;;;;;;;;;0000-00-00
81;2014-12-02;2014-12-09;2405.41;+4.32;2444.00;2453.00;2020-05-19;48.77;-3.66;2998.30;+4.58;2489.56;+14.47;2999.00;3043.00;;;;;;;;;0000-00-00
82;2014-11-25;2014-12-01;2401.09;+4.30;2440.00;2449.00;2020-05-19;52.43;+1.86;2993.72;-12.71;2475.09;-31.49;2994.00;3038.00;;;;;;;;;0000-00-00
83;2014-11-18;2014-11-24;2396.79;+4.29;2435.00;2444.00;2020-05-19;50.57;+0.60;3006.43;+0.14;2506.58;+25.25;3007.00;3052.00;;;;;;;;;0000-00-00
84;2014-11-11;2014-11-17;2392.50;+4.25;2431.00;2440.00;2020-05-19;49.97;-6.94;3006.29;-35.86;2481.33;+9.53;3007.00;3052.00;;;;;;;;;0000-00-00
85;2014-11-04;2014-11-10;2388.25;+4.27;2427.00;2436.00;2020-05-19;56.91;-0.11;3042.15;+6.20;2471.80;-38.97;3043.00;3088.00;;;;;;;;;0000-00-00
86;2014-10-28;2014-11-03;2383.98;+4.23;2422.00;2431.00;2020-05-19;57.02;-0.96;3035.95;+20.14;2510.77;-3.23;3036.00;3081.00;;;;;;;;;0000-00-00
87;2014-10-21;2014-10-27;2379.75;+4.19;2418.00;2427.00;2020-05-19;57.98;-1.10;3016.81;+10.24;2514.00;+20.24;3017.00;3062.00;;;;;;;;;0000-00-00
88;2014-10-14;2014-10-20;2375.56;+4.11;2414.00;2423.00;2020-05-19;59.08;-0.66;3006.57;-34.57;2493.76;+41.64;3007.00;3052.00;;;;;;;;;0000-00-00
89;2014-10-07;2014-10-13;2371.45;+4.05;2409.00;2418.00;2020-05-19;59.74;-1.39;3041.14;-43.14;2452.12;-34.64;3042.00;3087.00;;;;;;;;;0000-00-00
90;2014-09-30;2014-10-06;2367.40;+3.93;2405.00;2414.00;2020-05-19;61.13;-0.40;3084.28;-38.29;2486.76;-31.86;3085.00;3131.00;;;;;;;;;0000-00-00
91;2014-09-23;2014-09-29;2363.47;+3.91;2401.00;2410.00;2020-05-19;61.53;-1.13;3122.57;+5.36;2518.62;-9.84;3123.00;3169.00;;;;;;;;;0000-00-00
92;2014-09-16;2014-09-22;2359.56;+3.87;2397.00;2406.00;2020-05-19;62.66;-1.14;3117.21;+2.29;2528.46;+0.08;3118.00;3164.00;;;;;;;;;0000-00-00
93;2014-09-09;2014-09-15;2355.69;+3.85;2393.00;2402.00;2020-05-19;63.80;+0.74;3114.92;+2.68;2528.38;-27.69;3115.00;3161.00;;;;;;;;;0000-00-00
94;2014-09-03;2014-09-08;2351.84;+3.82;2389.00;2368.00;2020-05-19;63.06;-2.16;3112.24;-15.27;2556.07;-9.39;3113.00;3159.00;;;;;;;;;0000-00-00
95;2014-08-26;2014-09-02;2348.02;+3.64;2386.00;2395.00;2020-05-19;65.22;+0.10;3127.51;-40.64;2564.46;-32.61;3128.00;3174.00;;;;;;;;;0000-00-00
96;2014-08-19;2014-08-25;2344.38;+4.19;2382.00;2391.00;2020-05-19;65.12;+0.91;3168.15;+8.89;2597.07;+14.36;3169.00;3216.00;;;;;;;;;0000-00-00
97;2014-08-12;2014-08-18;2344.18;+3.99;2378.00;2387.00;2020-05-19;63.03;-1.18;3154.92;-4.34;2587.12;+4.41;3160.00;3207.00;;;;;;;;;0000-00-00
98;2014-08-05;2014-08-11;2340.16;+3.96;2373.00;2382.00;2020-05-19;64.80;-0.59;3166.11;+2.51;2577.54;-0.76;3164.00;3211.00;;;;;;;;;0000-00-00
99;2014-07-30;2014-08-04;2336.32;+4.08;2369.00;2378.00;2020-05-19;65.75;-0.23;3149.87;-11.22;2562.91;-16.15;3162.00;3209.00;;;;;;;;;0000-00-00
100;2014-07-22;2014-07-29;2332.22;+4.06;2365.00;2374.00;2020-05-19;64.18;-2.03;3179.47;+7.16;2586.68;-8.53;3173.00;3220.00;;;;;;;;;0000-00-00
101;2014-07-15;2014-07-21;2328.04;+3.94;2361.00;2370.00;2020-05-19;68.88;+0.64;3163.69;-1.46;2615.70;+11.96;3166.00;3213.00;;;;;;;;;0000-00-00
102;2014-07-08;2014-07-14;2324.05;+3.89;2357.00;2366.00;2020-05-19;66.33;-1.27;3181.70;+15.09;2583.05;-8.73;3167.00;3214.00;;;;;;;;;0000-00-00
103;2014-07-01;2014-07-07;2320.24;+3.97;2353.00;2362.00;2020-05-19;69.56;+0.69;3161.13;+9.61;2616.87;+16.36;3153.00;3200.00;;;;;;;;;0000-00-00
104;2014-06-24;2014-06-30;2316.21;+3.91;2349.00;2358.00;2020-05-19;67.10;-0.08;3138.18;-3.73;2602.28;+18.13;3142.00;3189.00;;;;;;;;;0000-00-00
105;2014-06-17;2014-06-23;2312.34;+3.95;2345.00;2354.00;2020-05-19;68.03;+0.77;3147.73;+2.09;2552.06;-13.96;3146.00;3193.00;;;;;;;;;0000-00-00
106;2014-06-10;2014-06-16;2304.44;+3.87;2341.00;2350.00;2020-05-19;66.49;+0.26;3143.55;-23.27;2579.98;+11.52;3144.00;3191.00;;;;;;;;;0000-00-00
107;2014-06-03;2014-06-09;2304.71;+4.14;2337.00;2346.00;2020-05-19;65.54;-0.69;3174.72;+7.9;2574.51;+6.05;3167.00;3214.00;;;;;;;;;0000-00-00
108;2014-05-27;2014-06-02;2300.55;+4.12;2333.00;2342.00;2020-05-19;67.93;+1.01;3163.48;+4.56;2552.65;-9.76;3159.00;3206.00;;;;;;;;;0000-00-00
109;2014-05-20;2014-05-26;2296.29;+3.98;2329.00;2338.00;2020-05-19;66.50;+0.59;3135.95;-18.41;2564.19;-7.98;3155.00;3202.00;;;;;;;;;0000-00-00
110;2014-05-13;2014-05-19;2292.24;+3.91;2325.00;2334.00;2020-05-19;66.69;+1.37;3187.79;+15.02;2555.79;-24.36;3173.00;3220.00;;;;;;;;;0000-00-00
111;2014-05-06;2014-05-12;2288.56;+4.14;2321.00;2330.00;2020-05-19;64.43;+0.48;3169.31;+11.56;2623.08;+18.57;3158.00;3205.00;;;;;;;;;0000-00-00
112;2014-04-29;2014-05-05;2284.37;+4.09;2316.00;2325.00;2020-05-19;62.89;-0.58;3139.63;-6.56;2594.38;+8.44;3147.00;3194.00;;;;;;;;;0000-00-00
113;2014-04-22;2014-04-28;2280.36;+4.17;2312.00;2321.00;2020-05-19;64.32;+0.27;3177.38;+24.63;2562.85;-14.65;3153.00;3200.00;;;;;;;;;0000-00-00
114;2014-04-15;2014-04-21;2276.30;+4.28;2308.00;2317.00;2020-05-19;63.68;-0.10;3118.76;-9.36;2596.96;+4.81;3129.00;3175.00;;;;;;;;;0000-00-00
115;2014-04-08;2014-04-14;2272.55;+4.81;2304.00;2313.00;2020-05-19;64.35;+0.47;3142.88;+5.40;2533.40;-8.62;3138.00;3185.00;;;;;;;;;0000-00-00
116;2014-04-01;2014-04-07;2268.56;+5.63;2299.00;2308.00;2020-05-19;64.81;+1.40;3127.64;-4.44;2544.88;-5.76;3133.00;3180.00;;;;;;;;;0000-00-00
117;2014-03-25;2014-03-31;2264.24;+6.94;2293.00;2302.00;2020-05-19;62.60;+0.59;3154.18;+17.66;2535.95;-20.45;3137.00;3184.00;;;;;;;;;0000-00-00
118;2014-03-18;2014-03-24;2257.23;+6.87;2286.00;2295.00;2020-05-19;60.97;-0.45;3152.53;+33.67;2594.68;+17.83;3119.00;3165.00;;;;;;;;;0000-00-00
119;2014-03-11;2014-03-17;2250.32;+6.83;2279.00;2288.00;2020-05-19;61.93;+0.06;3094.75;+9.56;2575.23;+16.21;3086.00;3132.00;;;;;;;;;0000-00-00
120;2014-03-04;2014-03-10;2243.61;+6.95;2272.00;2281.00;2020-05-19;61.13;-0.68;3097.53;+21.90;2571.85;+29.04;3076.00;3122.00;;;;;;;;;0000-00-00
121;2014-02-25;2014-03-03;2236.69;+6.98;2265.00;2274.00;2020-05-19;61.93;-0.56;3088.10;+34.37;2531.77;+18.00;3054.00;3099.00;;;;;;;;;0000-00-00
122;2014-02-18;2014-02-24;2229.47;+6.74;2258.00;2267.00;2020-05-19;62.06;-0.99;3026.67;+7.31;2525.77;+30.00;3020.00;3065.00;;;;;;;;;0000-00-00
123;2014-02-11;2014-02-17;2222.30;+6.31;2251.00;2260.00;2020-05-19;65.27;+1.23;3014.17;+2.12;2495.83;+30.06;3013.00;3058.00;;;;;;;;;0000-00-00
124;2014-02-04;2014-02-10;2215.87;+6.19;2244.00;2253.00;2020-05-19;61.30;-1.51;3019.81;+9.88;2408.59;-27.12;3010.00;3055.00;;;;;;;;;0000-00-00
125;2014-01-28;2014-02-03;2203.59;+0.10;2238.00;2247.00;2020-05-19;62.74;-1.58;2997.84;-2.21;2508.60;+45.77;3001.00;3046.00;;;;;;;;;0000-00-00
126;2014-01-21;2014-01-27;2203.49;+0.10;2238.00;2247.00;2020-05-19;65.45;-0.45;3008.11;+4.85;2384.92;-32.14;3004.00;3049.00;;;;;;;;;0000-00-00
127;2014-01-14;2014-01-20;2203.36;+0.07;2238.00;2247.00;2020-05-19;65.24;-1.11;2962.62;-35.79;2460.59;+14.39;2999.00;3043.00;;;;;;;;;0000-00-00
128;2014-01-07;2014-01-13;2204.24;+1.02;2238.00;2247.00;2020-05-19;67.43;-0.03;3036.50;+2.30;2395.06;-36.75;3035.00;3080.00;;;;;;;;;0000-00-00
129;2013-12-31;2014-01-06;2202.25;+0.05;2237.00;2246.00;2020-05-19;68.21;+0.72;3034.89;+2.99;2478.81;+10.25;3032.00;3077.00;;;;;;;;;0000-00-00
130;2013-12-24;2013-12-30;2204.37;+2.22;2237.00;2246.00;2020-05-19;66.60;-0.17;3030.41;+1.50;2439.50;-18.81;3029.00;3074.00;;;;;;;;;0000-00-00
131;2013-12-17;2013-12-23;2202.59;+2.66;2234.00;2243.00;2020-05-19;67.20;+0.26;3072.79;+45.38;2492.04;+14.92;3028.00;3073.00;;;;;;;;;0000-00-00
132;2013-12-10;2013-12-16;2200.39;+3.12;2232.00;2241.00;2020-05-19;67.25;+0.57;2992.35;+10.32;2499.12;+36.92;2983.00;3027.00;;;;;;;;;0000-00-00
133;2013-12-03;2013-12-09;2197.63;+3.48;2229.00;2238.00;2020-05-19;65.65;-0.46;2969.37;-2.34;2438.72;+13.44;2972.00;3016.00;;;;;;;;;0000-00-00
134;2013-11-26;2013-12-02;2194.38;+3.71;2225.00;2234.00;2020-05-19;66.22;-0.35;2980.61;+6.56;2431.99;+20.15;2975.00;3019.00;;;;;;;;;0000-00-00
135;2013-11-19;2013-11-25;2191.02;+4.06;2221.00;2230.00;2020-05-19;66.77;-0.15;2983.56;+16.07;2416.32;+24.63;2968.00;3012.00;;;;;;;;;0000-00-00
136;2013-11-12;2013-11-18;2187.24;+4.34;2217.00;2226.00;2020-05-19;66.44;-0.63;2940.92;-10.50;2347.44;-19.62;2952.00;2996.00;;;;;;;;;0000-00-00
137;2013-11-05;2013-11-11;2183.18;+4.62;2213.00;2222.00;2020-05-19;66.77;-0.93;2973.76;+11.84;2338.39;-48.29;2962.00;3006.00;;;;;;;;;0000-00-00
138;2013-10-29;2013-11-04;2178.91;+4.97;2208.00;2217.00;2020-05-19;69.15;+0.52;2960.82;+10.74;2467.71;+32.74;2951.00;2995.00;;;;;;;;;0000-00-00
139;2013-10-22;2013-10-28;2174.11;+5.14;2203.00;2212.00;2020-05-19;69.05;+0.94;2942.02;+2.68;2425.06;+22.83;2940.00;2984.00;;;;;;;;;0000-00-00
140;2013-10-15;2013-10-21;2169.30;+5.47;2198.00;2207.00;2020-05-19;67.10;-0.07;2943.12;+6.46;2385.72;+6.32;2937.00;2981.00;;;;;;;;;0000-00-00
